Code,Name,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12
002840,미원상사,11.45,13.73,16.95,18.69,14.54,15.35,18.03,13.51,8.4
003030,세아제강지주,13.48,20.32,19.01,13.14,6.85,7.75,8.49,2.25,4.13
003090,대웅,9.54,10.92,14.53,14.21,3.19,10.92,14.51,19.72,12.51
003230,삼양식품,8,9.72,15.44,12.96,11.07,20.77,21.08,19.89,18.31
003240,태광산업,-13.61,-3.47,-3.31,-4.07,-6.89,-1.13,1.25,-3.27,-2.18
003490,대한항공,13.31,13.52,12.31,12.78,6.47,12.53,10.06,14.24,10.31
003550,LG,5.39,30.62,23.94,27.38,5.88,26.03,16.96,24.52,-13.56
003620,KG모빌리티,-0.17,0.87,1.87,1.58,-4.03,1.51,1.08,-4.45,1.55
003670,포스코퓨처엠,0.42,1.79,4.37,2.89,-6.43,3.33,0.3,0.15,-5.71
004000,롯데정밀화학,8.88,8.01,16.02,8.76,2.07,2.7,4.05,2.46,2.84
004020,현대제철,-4.62,5.23,6.52,3.64,-3.75,0.94,1.62,0.92,-0.82
004170,신세계,6.39,9.75,9.49,8.8,11.97,10.16,7.32,6.04,5.69
004370,농심,5.62,7.41,6.41,6.51,4.55,7.04,5.08,4.42,2.39
004490,세방전지,5.29,3.91,7.94,8.66,9.62,9.87,11.36,6.95,6.95
004990,롯데지주,0.46,2.28,4.11,6.04,0.38,1.86,4.02,4.32,-1.94
005250,녹십자홀딩스,-6.45,-6.16,1.35,3.83,-3.22,-6.62,1.9,5.65,-4.37
005300,롯데칠성,3.64,8.72,7.43,10.15,0.87,3.92,5.48,7.39,1.0
005380,현대차,8.82,9.64,10.06,9.34,8.18,8.75,9.51,8.34,6.05
005420,코스모화학,1.11,0.98,2.25,2.34,-7.17,-0.27,1.81,0.7,-3.68
005490,POSCO홀딩스,-2.21,3.64,6.59,6.31,1.63,3.23,4.06,4.06,0.54
005830,DB손해보험,19.52,13.04,13.39,10.18,8.51,14.24,14.38,13.32,3.96
005850,에스엘,2.42,8.6,10.68,7.0,5.5,11.14,11.38,5.68,3.3
005930,삼성전자,6.11,1.0,1.11,3.61,4.17,9.19,14.1,11.61,8.57
005940,NH투자증권,50.09,7.46,11.35,5.17,4.9,9.57,13.34,8.25,5.74
006040,동원산업,3.68,5.18,4.66,6.48,4.32,4.91,3.96,7.46,5.95
006260,LS,2.18,3.83,4.31,3.64,2.89,4.14,5.15,2.5,3.99
006280,녹십자,-5.45,-3.89,5.47,7.46,-2.08,-4.21,4.23,8.51,-2.29
006360,GS건설,2.86,4.52,-11.84,1.94,-5.82,2.3,2.83,2.63,1.19
006400,삼성SDI,8.23,7.01,7.71,8.3,5.6,4.2,5.7,3.04,-7.5
006650,대한유화,-30.05,-6.83,-5.54,2.82,-1.47,-2.36,-0.85,-4.19,-1.31
006800,미래에셋증권,4.75,4.1,3.94,3.79,-1.83,4.31,5.78,6.8,4.72
007070,GS리테일,7.44,2.37,3.18,3.61,1.93,1.84,2.84,2.78,0.49
007310,오뚜기,4.18,7.63,7.56,9.13,5.03,8.29,7.17,7.03,2.65
007340,DN오토모티브,15.22,15.76,15.29,15.04,13.88,15.84,16.79,15.31,13.12
008730,율촌화학,-0.37,-1.66,-4.37,-5.46,-4.18,-4.91,1.08,-5.24,-7.25
008770,호텔신라,-0.51,4.59,7.75,0.77,-1.95,1.24,2.76,-1.67,-2.95
008930,한미사이언스,2.44,4.14,4.65,3.93,5.46,10.77,2.66,6.64,-17.77
009150,삼성전기,5.14,6.93,9.23,7.98,4.97,7.03,8.22,8.6,4.62
009240,한샘,-4.07,-3.35,0.24,1.02,2.3,2.67,1.48,1.61,0.79
009420,한올바이오파마,2.64,-6.04,19.61,0.28,-13.44,0.35,-9.68,1.17,7.52
009540,HD한국조선해양,2.37,-0.39,1.31,1.38,2.69,2.9,5.69,6.38,6.97
009830,한화솔루션,4.44,8.76,5.42,3.07,1.37,-9.12,-4.23,-2.93,2.3
009970,영원무역홀딩스,21.58,21.04,21.3,19.13,18.77,13.21,18.84,10.8,6.71
010060,OCI홀딩스,33.17,28.27,22.2,18.94,10.09,11.48,9.43,2.26,-12.63
010120,LS ELECTRIC,2.81,8.38,8.73,6.86,6.61,9.03,9.68,6.51,8.82
010130,고려아연,3.46,5.77,6.31,7.0,8.2,7.77,8.79,4.68,3.52
010140,삼성중공업,-20.55,1.22,3.03,3.75,3.25,3.32,5.16,5.16,6.45
010620,HD현대미포,-5.35,-3.02,-5.08,-0.79,-5.91,-1.1,1.54,3.27,3.3
010950,S-Oil,-1.51,5.68,0.47,9.54,-0.57,4.88,1.68,-4.69,2.49
011070,LG이노텍,2.6,3.32,0.47,3.85,6.4,4.06,3.33,2.29,3.74
011170,롯데케미칼,-5.14,-0.11,-1.36,0.87,-6.44,-2.66,-2.38,-8.22,-4.0
011200,HMM,35.88,14.72,7.52,3.57,2.05,17.47,24.19,41.14,31.7
011210,현대위아,2.3,2.43,2.85,3.26,2.87,2.81,2.61,2.55,2.73
011780,금호석유화학,6.92,7.67,6.82,5.59,2.32,4.71,6.43,3.56,0.55
011790,SKC,-108.98,-6.02,-9.51,-15.66,-45.21,-18.14,-13.59,-13.42,-19.57
012330,현대모비스,4.4,2.85,4.23,4.85,3.57,3.91,4.34,6.49,6.7
012450,한화에어로스페이스,6.21,10.9,4.12,5.27,8.95,1.22,14.44,18.14,18.65
012630,HDC,6.22,5.07,2.55,6.86,6.42,5.52,5.47,5.92,5.35
012750,에스원,5.98,9.88,8.41,8.29,6.06,7.36,7.52,8.82,6.27
014680,한솔케미칼,11.87,17.69,16.77,18.9,10.98,17.28,17.64,19.42,11.92
014820,동원시스템즈,5.44,5.39,7.65,7.41,4.76,5.2,8.8,8.09,5.22
015760,한국전력,-55.51,-28.61,-11.58,8.16,8.48,5.58,6.11,13.01,10.28
016360,삼성증권,2.69,7.75,7.39,6.43,-0.08,8.91,11.04,11.71,5.4
017670,SK텔레콤,5.79,11.32,10.76,11.31,6.56,11.14,12.15,11.77,5.63
017800,현대엘리베이터,6.3,3.73,2.35,6.24,0.56,6.03,6.75,10.01,8.41
017960,한국카본,5.7,3.63,5.9,2.96,0.11,1.43,9.16,4.5,8.95
018260,삼성에스디에스,4.41,5.71,6.27,6.02,6.35,6.96,6.56,7.08,5.81
018880,한온시스템,4.45,2.57,5.91,0.83,2.37,2.72,2.8,3.75,-5.43
021240,코웨이,16.7,18.52,19.3,19.38,16.55,19.34,19.51,18.82,16.29
022100,포스코DX,3.45,7.36,9.3,9.08,3.97,7.99,6.9,8.26,6.41
023530,롯데쇼핑,2.46,3.16,1.42,3.8,5.57,3.27,1.64,4.34,4.23
024110,기업은행,24.54,10.91,16.7,18.66,10.51,12.01,10.36,19.16,5.98
026960,동서,7.29,10.18,8.67,8.6,8.26,9.51,9.06,8.68,9.13
028050,삼성E&A,7.3,8.9,12.37,6.19,9.54,8.78,9.78,8.8,11.47
028260,삼성물산,5.96,6.26,7.3,7.57,6.21,6.6,8.18,7.14,6.35
028670,팬오션,11.07,11.31,10.21,7.15,6.68,10.06,10.96,10.03,6.55
029780,삼성카드,30.62,17.94,19.66,18.28,25.59,21.81,22.82,25.34,13.17
030000,제일기획,5.96,5.67,8.72,8.67,6.63,5.36,8.1,8.91,7.08
030200,KT,2.3,7.54,8.8,4.81,3.97,7.61,7.55,6.97,-9.96
032640,LG유플러스,7.94,7.35,8.4,7.1,5.12,6.18,7.27,6.47,3.79
032830,삼성생명,19.2,8.83,4.94,7.95,7.92,8.01,11.45,9.78,0.47
033780,KT&G,14.32,22.68,18.42,24.07,13.73,18.31,22.62,25.53,13.65
034020,두산에너빌리티,5.88,9.02,10.9,7.49,6.11,8.74,7.46,3.38,5.12
034220,LG디스플레이,-11.99,-24.9,-18.6,-13.84,1.78,-8.94,-1.4,-1.18,1.06
034730,SK,-1.46,3.63,1.69,7.37,0.08,4.41,1.98,1.4,-1.29
035250,강원랜드,5.49,19.46,24.78,24.54,11.91,20.58,21.88,24.83,12.4
035420,NAVER,14.81,14.49,15.48,15.55,15.98,17.39,18.11,19.34,18.78
035720,카카오,6.1,3.86,5.88,6.18,8.05,6.05,6.68,6.79,3.85
036460,한국가스공사,6.16,3.28,2.52,2.92,4.99,7.19,6.18,5.42,11.79
036570,엔씨소프트,8.66,17.05,8.01,3.91,0.88,6.47,2.4,-3.56,-31.63
039130,하나투어,-34.62,6.76,4.93,10.43,9.33,11.8,2.78,7.55,9.56
039490,키움증권,7.19,12.64,8.14,12.94,-12.91,12.78,13.7,9.87,4.95
042660,한화오션,-28.72,-4.36,-8.73,3.87,-2.19,2.32,-0.38,0.95,5.2
042670,HD현대인프라코어,5.37,11.85,12.33,8.33,1.43,8.02,7.36,2.28,-1.16
042700,한미반도체,23.83,7.82,22.78,9.3,35.27,37.13,44.9,47.62,48.09
047040,대우건설,7.69,6.77,6.65,6.36,2.81,4.62,3.71,2.45,4.58
047050,포스코인터내셔널,2.12,3.37,4.03,3.88,2.71,3.42,4.22,4.28,1.82
047810,한국항공우주,4.32,3.41,1.14,6.49,10.22,6.49,8.33,8.41,3.85
051600,한전KPS,12.13,15.64,11.91,10.96,13.44,15.24,17.36,11.85,9.48
051900,LG생활건강,7.13,8.67,8.73,7.36,3.49,8.74,9.01,6.19,2.7
051910,LG화학,1.53,4.92,3.54,4.78,-0.02,0.65,-0.45,0.19,-4.77
052690,한전기술,7,9.26,9.3,4.37,1.08,7.15,10.36,5.35,13.93
055550,신한지주,5.56,18.38,16.57,14.82,11.01,15.59,10.31,20.79,1.65
064350,현대로템,6.61,4.66,6.81,4.44,7.06,5.98,10.3,12.57,11.22
066570,LG전자,0.32,7.33,3.71,4.74,1.38,6.33,5.52,3.39,0.6
066970,엘앤에프,4.34,2.97,0.22,1.18,-42.65,-32.07,-15.18,-20.6,-54.26
068270,셀트리온,19.71,30.53,34.92,39.81,4.82,2.1,8.29,23.55,18.47
069260,TKG휴켐스,4.79,15.46,15.62,12.85,-0.71,10.48,7.65,6.64,2.64
069620,대웅제약,3.85,7.59,11.44,8.62,7.93,8.83,11.74,10.4,10.52
069960,현대백화점,4.34,7.09,5.73,7.37,8.46,7.24,4.18,6.23,9.17
071050,한국금융지주,-11.88,3.77,4.4,3.9,1.14,6.19,5.75,5.77,3.28
071320,지역난방공사,-8.21,-5.29,-7.18,-7.31,47.51,15.17,-4.39,4.93,10.56
073240,금호타이어,1.94,5.46,8.77,9.85,16.23,13.94,13.39,12.58,12.19
078930,GS,14.28,15.85,11.59,19.04,10.66,16.16,12.91,9.89,9.39
079550,LIG넥스원,3.8,12.47,7.37,7.66,5.43,8.77,8.13,7.02,5.28
081660,미스토홀딩스,-0.88,14.47,8.02,9.35,-5.44,13.81,11.92,8.9,-4.18
086280,현대글로비스,6.54,6.45,6.31,6.07,5.38,5.84,6.22,6.28,6.31
086790,하나금융지주,20.39,6.78,8.82,6.64,4.55,6.97,6.89,12.13,2.11
088350,한화생명,-27.71,10.17,5.69,0.71,-0.43,6.14,6.31,2.71,2.57
090430,아모레퍼시픽,5.24,7.04,0.62,1.94,2.23,7.97,0.46,6.67,7.19
093370,후성,-1.67,-11.39,-2.16,-5.3,-17.98,-8.68,3.79,-1.68,-2.35
096770,SK이노베이션,-4,1.96,-1.46,6.8,-0.86,3.11,-0.84,-2.74,0.41
097950,CJ제일제당,3.18,3.58,4.77,5.32,4.09,5.21,5.24,5.56,5.2
103140,풍산,3.78,8.12,5.2,3.43,5.21,5.63,13.08,6.59,2.76
105560,KB금융,2.23,8.67,12.92,10.44,1.34,10.06,11.58,15.21,3.9
111770,영원무역,18.63,19.89,20.89,18.02,10.5,10.01,18.65,9.78,-3.12
112610,씨에스윈드,-1.6,6.99,10.06,10.89,-0.94,-1.82,14.45,13.64,5.22
114090,GKL,5.87,24.93,10.98,14.22,-1.04,14.14,13.37,6.18,5.17
120110,코오롱인더,2.68,3.21,5.87,2.94,4.54,2.72,4.85,2.69,2.76
128940,한미약품,11.06,16.59,9.67,15.78,16.6,18.99,15.37,14.08,8.66
137310,에스디바이오센서,-58.05,-67.86,-46.98,-29.29,-18.55,-5.99,-8.89,-6.18,-10.03
138040,메리츠금융지주,3.42,4.61,5.8,6.35,3.67,6.14,8.96,8.27,4.3
138930,BNK금융지주,4.69,12.42,12.12,11.44,-2.79,11.75,11.85,10.57,1.1
139130,iM금융지주,0.53,10.32,9.94,8.92,-1.97,7.45,1.66,6.28,-2.02
139480,이마트,0.17,0.19,-0.73,1.01,-1.16,0.65,-0.49,1.49,-1.06
145720,덴티움,38.71,31.29,30.45,32.05,43.72,23.24,24.81,25.74,22.91
161390,한국타이어앤테크놀로지,9.37,9.08,10.97,16.94,22.06,18.74,18.12,19.31,18.69
161890,한국콜마,1.8,2.47,9.28,6.01,6.77,5.64,10.87,8.71,5.95
175330,JB금융지주,16.34,22.13,21.45,22.03,11.34,19.99,22.03,22.75,13.63
180640,한진칼,7.47,17.92,21.54,14.63,8.82,18.45,20.67,17.03,11.22
185750,종근당,4.68,8.62,11.36,13.81,22.67,8.53,9.03,6.31,1.63
192080,더블유게임즈,32.67,31.71,34.92,38.76,40.95,38.44,41.11,38.6,38.84
192820,코스맥스,0.6,3.43,9.61,7.27,5.16,8.63,8.47,8.19,7.14
204320,HL만도,2.61,3.52,3.69,3.85,2.31,3.59,4.17,3.8,4.58
207940,삼성바이오로직스,32.4,26.6,29.26,30.81,32.6,23.37,37.56,28.52,25.92
241560,두산밥캣,10.52,15.37,17.49,12.54,11.06,13.61,10.66,7.04,8.41
251270,넷마블,-3.5,-4.68,-6.17,-3.47,2.83,0.63,14.22,10.12,5.43
259960,크래프톤,26.63,52.53,33.97,42.03,30.74,46.63,46.97,45.1,34.89
267250,HD현대,1.66,3.49,3.03,4.87,2.14,4.81,5.01,2.6,5.14
267260,HD현대일렉트릭,7.56,8.15,9.16,12.3,15.63,16.08,22.91,20.77,20.39
268280,미원에스씨,7.49,3.25,5.89,5.38,6.14,10.09,12.9,12.66,10.44
271560,오리온,17.22,14.94,15.72,18.36,18.27,16.72,16.92,17.69,18.53
272210,한화시스템,0.88,2.81,4.9,6.39,5.2,8.36,12.29,9.44,3.12
278470,에이피알,16.19,18.98,19.41,17.93,22.6,18.64,18.01,15.65,16.25
280360,롯데웰푸드,1.89,1.94,4.67,7.42,2.98,3.93,6.06,7.05,-2.02
282330,BGF리테일,2.68,2.0,3.72,3.94,2.5,1.67,3.46,3.92,2.33
285130,SK케미칼,9.4,2.37,-3.73,14.34,1.19,-3.32,2.14,-2.92,-5.61
298020,효성티앤씨,-2.39,3.73,3.34,2.57,1.64,4.05,4.27,3.49,2.15
298040,효성중공업,4.16,1.67,7.64,9.1,4.91,5.71,5.25,9.73,8.41
298050,HS효성첨단소재,5.94,8.07,5.96,4.55,2.92,7.66,7.88,5.38,5.56
300720,한일시멘트,7.73,7.06,17.18,16.39,13.11,13.5,21.48,18.81,8.04
302440,SK바이오사이언스,6.47,-141.72,-133.35,26.29,-9.3,-126.18,-74.47,-64.26,-32.37
316140,우리금융지주,-97.41,9.99,8.27,12.33,1.52,8.96,11.52,15.86,4.35
323410,카카오뱅크,17.7,24.34,18.22,19.42,15.49,20.67,23.13,23.28,15.39
326030,SK바이오팜,-71.09,-37.27,-24.59,-11.86,11.66,9.03,19.44,14.16,24.94
329180,HD현대중공업,0.83,-1.58,2.24,0.45,4.06,0.71,5.04,5.71,7.05
352820,하이브,9.54,12.79,13.1,13.51,14.65,3.99,7.95,10.27,8.89
361610,SK아이이테크놀로지,-5.81,1.22,3.67,6.93,17.53,-146.04,-95.1,-143.82,-155.12
373220,LG에너지솔루션,2.78,6.09,3.99,6.27,1.1,-0.52,-4.1,-0.26,-9.34
375500,DL이앤씨,5.33,4.87,3.65,4.38,3.78,3.22,1.57,4.34,3.86
377300,카카오페이,-18.13,-9.2,-8.45,-6.0,-12.92,-5.5,-3.92,-4.02,-15.14
383220,F&F,28.09,29.99,27.15,30.14,24.72,25.68,23.45,24.02,22.03
402340,SK스퀘어,"-3,312.09",-108.96,-137.12,-106.55,-64.34,35.72,57.68,69.26,74.72
443060,HD현대마린솔루션,,,15.03,13.99,13.2,13.44,16.21,18.08,14.22
450080,에코프로머티,-0.32,3.57,2.46,-2.87,0.07,-16.38,-5.5,-58.5,-10.84
454910,두산로보틱스,-15.32,-25.46,-41.3,-49.06,-18.36,-63.28,-54.57,-95.55,-146.71
456040,OCI,,,4.43,4.89,4.09,7.19,5.92,3.01,3.92
457190,이수스페셜티케미컬,,,12.89,0.53,-31.14,2.67,7.76,4.54,1.02
489790,한화비전,,,,,,,,6.06,-2.43